ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,tenure_dv_2,tenure_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,racel_dv_2,racel_dv_2_pct,tribe_description
E06000009,Blackpool,Employed,1,Professional Married Female Homeowners,15611,4108,54.5,2.5,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,90,Degree,37,A-level etc,22.0,Married/Civil partner,66,Owned with mortgage,66,Couple with 2 children,19,"3 or more adults, no children, incl. at least one couple",14.0,,,,,,,"This cluster consists entirely of middle-aged, highly qualified White British women, predominantly married homeowners with mortgages. Many live in households with two children or multiple adults."
E06000009,Blackpool,Employed,2,Older Unqualified Married Homeowners,5895,310,61.1,2.8,Male,53,Employed,100,White: British/English/Scottish/Welsh/N. Irish,72,No qualification,100,,,Married/Civil partner,64,Owned with mortgage,34,"Couple 1 or more over pensionable age, no children",19,"3 or more adults, no children, incl. at least one couple",19.0,Owned outright,32.0,,,,,"This is the oldest cluster, characterized by individuals with no formal qualifications. They are predominantly married homeowners, often older couples without children or multi-adult households."
E06000009,Blackpool,Employed,3,Professional Married Male Homeowners,18472,4152,55.1,2.5,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,90,Degree,35,A-level etc,25.0,Married/Civil partner,74,Owned with mortgage,68,Couple with 2 children,22,"Couple both under pensionable age, no children",16.0,,,,,,,"This cluster comprises entirely of middle-aged, highly qualified White British men, mostly married homeowners with mortgages. Many live in households with two children or are couples under pensionable age without children."
E06000009,Blackpool,Employed,4,Young Professional Private Renters,12776,1617,45.3,2.7,Female,52,Employed,100,White: British/English/Scottish/Welsh/N. Irish,80,Degree,35,A-level etc,25.0,Never married,35,Rented private unfurnished,61,"1 adult under pensionable age, no children",27,"Couple both under pensionable age, no children",19.0,,,Married/Civil partner,31.0,,,"This younger, highly qualified cluster is primarily composed of private renters, with a significant proportion never married. Many live as single adults or young couples without children."
E06000009,Blackpool,Employed,5,Young Multi-Adult Homeowners,7900,1324,36.8,2.4,Female,54,Employed,100,White: British/English/Scottish/Welsh/N. Irish,85,A-level etc,40,GCSE etc,24.0,Never married,92,Owned with mortgage,49,"3 or more adults, no children, incl. at least one couple",37,"3 or more adults, 1–2 children, incl. at least one couple",17.0,Owned outright,33.0,,,,,"This is the youngest cluster, characterized by being overwhelmingly never married and having very good health. They predominantly live in multi-adult households, often with mid-level qualifications and a high rate of homeownership."
E06000009,Blackpool,Inactive,1,Older Unqualified Social Renters,2854,109,63.5,4.5,Female,62,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,100,,,Married/Civil partner,28,Local authority rent,38,"1 adult under pensionable age, no children",37,"1 female, age 60+, no children",17.0,Housing association rented,30.0,Never married,26.0,,,"This cluster consists primarily of older, White British individuals with no formal qualifications. They predominantly live in social rented housing, often as single adults, including many older women."
E06000009,Blackpool,Inactive,2,Younger Healthy Homeowners,1028,123,46.1,2.8,Female,62,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,87,GCSE etc,30,A-level etc,29.0,Never married,48,Owned outright,37,"3 or more adults, no children, incl. at least one couple",14,Couple with 1 child,11.0,Owned with mortgage,35.0,Married/Civil partner,37.0,,,"This is the youngest and healthiest cluster, largely comprising White British homeowners. Many have GCSE or A-level qualifications, and households often include couples, some with children."
E06000009,Blackpool,Inactive,3,Unmarried Multi-Adult Households,1814,96,51.9,4.1,Female,57,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,79,No qualification,69,,,Never married,67,Local authority rent,43,"3 or more adults, no children, incl. at least one couple",31,"3 or more adults, no children, excl. any couples",22.0,Owned outright,28.0,,,,,"This cluster is characterized by a very high proportion of never-married individuals living in multi-adult households, often without children. Many have no formal qualifications and live in a mix of social rented and owned housing."
E06000009,Blackpool,Inactive,4,Middle-Aged Social Renters,2844,490,57.7,4.5,Female,60,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,36,A-level etc,25.0,Married/Civil partner,33,Local authority rent,26,"1 adult under pensionable age, no children",24,"Couple both under pensionable age, no children",10.0,Housing association rented,20.0,Never married,28.0,,,"This cluster represents middle-aged individuals, predominantly White British, with some GCSE or A-level qualifications. They are often social renters, living as single adults or couples without children."
E06000009,Blackpool,Inactive,5,Small Other Ethnic Group,50,8,53.2,4.4,Male,50,Inactive,100,Other ethnic group,100,Other higher degree,25,A-level etc,25.0,Never married,50,Housing association rented,50,"1 female, age 60+, no children",25,"1 adult under pensionable age, no children",25.0,,,,,,,"This is a very small and distinctive cluster, entirely composed of individuals from 'Other ethnic groups'. They show higher levels of education, with a notable proportion of males, and often reside in housing association rented properties."
